DATOS HORARIOS GENERADOS CON EL EXPLORADOR DE ENERGIA SOLAR PARA UN ANIO METEOROLOGICO TIPICO
""
-----------------------------------------------------------------------------------------
DESCRIPCION,Datos para la evaluacion de la radiacion solar generados con un modelo de transferencia radiativa
VERSION DEL MODELO,2.0
FUENTE,Ministerio de Energia / Departamento de Geofisica Universidad de Chile
CONTACTO,ernc@dgf.uchile.cl
-----------------------------------------------------------------------------------------
""
CARACTERISTICAS DEL SITIO
NOMBRE DEL SITIO,S1
LATITUD,-30.1232
LONGITUD,-70.4926
ALTURA,1250.0
""
-----------------------------------------------------------------------------------------
PERIODO DE DATOS
FECHA INICIAL,2004-01-01 00:00:00
FECHA FINAL,2016-12-18 23:00:00
INTERVALO,60 minutos
METODO DE CALCULO,Promedio de valores instantaneos cada 10 minutos
""
-----------------------------------------------------------------------------------------
VARIABLES INCLUIDAS
""
VARIABLE,UNIDAD,DESCRIPCION
glb,W/m2,Radiacion Global
dir,W/m2,Radiacion Directa
dif,W/m2,Radiacion Difusa
sct,W/m2,Radiacion Difusa Reflejada
ghi,W/m2,Radiacion Global Horizontal
dirh,W/m2,Radiacion Directa
difh,W/m2,Radiacion Difusa
dni,W/m2,Radiacion Directa Normal
temp,C,Temperatura en 2 metros (Corejida)
vel,m/s,Velocidad de Viento
shadow,0 = Sin; 1 = Con (inc. la noche);,Presencia de sombras debido a la topografia
cloud,"1=Si, 0=No",Presencia de nubes
""
-----------------------------------------------------------------------------------------
""
Fecha/Hora,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud
2006-01-01 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.48,2.60,1.00,0.00
2006-01-01 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.72,2.89,1.00,0.00
2006-01-01 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.26,2.76,1.00,0.00
2006-01-01 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,2.57,1.00,0.00
2006-01-01 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.98,2.74,1.00,0.00
2006-01-01 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.35,2.77,1.00,0.00
2006-01-01 06:00:00,10.19,0.00,10.02,0.17,10.74,0.00,10.74,0.00,14.04,1.50,1.00,0.00
2006-01-01 07:00:00,34.21,0.00,33.63,0.58,36.04,0.00,36.04,0.00,17.68,0.41,1.00,0.00
2006-01-01 08:00:00,340.07,290.95,41.26,7.86,488.68,444.46,44.22,987.13,20.34,1.03,0.00,0.00
2006-01-01 09:00:00,595.74,539.11,45.05,11.59,720.82,672.54,48.28,1055.98,22.84,2.15,0.00,0.00
2006-01-01 10:00:00,818.60,756.64,47.19,14.77,918.70,868.12,50.58,1094.24,24.98,2.62,0.00,0.00
2006-01-01 11:00:00,986.69,921.15,48.39,17.15,1066.46,1014.60,51.86,1115.88,27.14,4.64,0.00,0.00
2006-01-01 12:00:00,1081.01,1013.53,49.02,18.46,1148.18,1095.64,52.54,1121.98,28.81,7.84,0.00,0.00
2006-01-01 13:00:00,1098.26,1030.43,49.13,18.69,1162.58,1109.92,52.66,1120.39,30.19,8.71,0.00,0.00
2006-01-01 14:00:00,1036.60,970.01,48.78,17.81,1108.00,1055.72,52.28,1110.49,29.64,9.65,0.00,0.00
2006-01-01 15:00:00,904.92,841.10,47.86,15.96,992.52,941.22,51.30,1095.43,28.59,8.28,0.00,0.00
2006-01-01 16:00:00,710.20,650.79,46.22,13.19,820.62,771.08,49.54,1067.08,27.29,5.35,0.00,0.00
2006-01-01 17:00:00,470.71,417.60,43.37,9.74,606.06,559.58,46.48,1017.07,25.69,3.49,0.00,0.00
2006-01-01 18:00:00,211.64,167.63,38.16,5.86,364.24,323.34,40.90,914.75,23.32,2.31,0.00,0.00
2006-01-01 19:00:00,26.76,0.00,26.31,0.45,28.20,0.00,28.20,0.00,21.00,1.09,1.00,0.00
2006-01-01 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.58,1.83,1.00,0.00
2006-01-01 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.92,2.03,1.00,0.00
2006-01-01 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.83,2.98,1.00,0.00
2006-01-01 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.90,3.74,1.00,0.00
2006-01-02 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.12,4.12,1.00,0.00
2006-01-02 01:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.03,4.14,1.00,0.00
2006-01-02 02:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.87,4.91,1.00,0.00
2006-01-02 03:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.23,4.52,1.00,0.00
2006-01-02 04:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.64,4.72,1.00,0.00
2006-01-02 05:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.79,4.12,1.00,0.00
2006-01-02 06:00:00,9.70,0.00,9.54,0.16,10.22,0.00,10.22,0.00,15.90,2.28,1.00,0.00
2006-01-02 07:00:00,34.19,0.00,33.61,0.58,36.02,0.00,36.02,0.00,19.13,1.37,1.00,0.00
2006-01-02 08:00:00,341.37,292.16,41.31,7.89,490.82,446.54,44.28,996.24,21.87,0.88,0.00,0.00
2006-01-02 09:00:00,599.62,542.82,45.14,11.66,725.28,676.90,48.38,1065.98,24.49,2.02,0.00,0.00
2006-01-02 10:00:00,825.05,762.87,47.30,14.88,925.40,874.70,50.70,1104.46,27.08,2.67,0.00,0.00
2006-01-02 11:00:00,995.57,929.77,48.52,17.29,1075.36,1023.36,52.00,1126.69,28.73,4.55,0.00,0.00
2006-01-02 12:00:00,1092.22,1024.45,49.13,18.64,1159.24,1106.58,52.66,1133.80,30.33,7.76,0.00,0.00
2006-01-02 13:00:00,1111.28,1043.16,49.23,18.90,1175.40,1122.64,52.76,1133.34,31.49,6.25,0.00,0.00
2006-01-02 14:00:00,1050.48,983.59,48.85,18.03,1121.76,1069.40,52.36,1124.56,30.72,8.18,0.00,0.00
2006-01-02 15:00:00,917.31,853.18,47.98,16.16,1004.92,953.50,51.42,1108.91,29.64,6.21,0.00,0.00
2006-01-02 16:00:00,720.49,660.79,46.33,13.36,831.16,781.50,49.66,1080.24,28.33,5.11,0.00,0.00
2006-01-02 17:00:00,478.36,424.95,43.53,9.88,614.40,567.74,46.66,1030.26,26.67,3.77,0.00,0.00
2006-01-02 18:00:00,216.42,172.16,38.31,5.96,370.60,329.54,41.06,929.71,24.12,1.83,0.00,0.00
2006-01-02 19:00:00,26.97,0.00,26.52,0.46,28.42,0.00,28.42,0.00,21.70,0.78,1.00,0.00
2006-01-02 20:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.22,1.83,1.00,0.00
2006-01-02 21:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.32,1.80,1.00,0.00
2006-01-02 22:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.38,1.98,1.00,0.00
2006-01-02 23:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.77,2.47,1.00,0.00
2006-01-03 00:00:00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,2.21,1.00,0.00
