Latitude (decimal degrees): -30.123
Longitude (decimal degrees): -70.493
Elevation (m): 1258.0
Irradiance Time Offset (h): 0.5
month,year
1,2017
2,2006
3,2019
4,2006
5,2020
6,2009
7,2013
8,2020
9,2014
10,2014
11,2020
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,14.03,32.59,0.0,-0.0,0.0,255.58,0.91,124.0,70830.0
20170101:0100,13.59,32.9,0.0,-0.0,0.0,251.63,0.85,122.0,70830.0
20170101:0200,13.15,33.22,0.0,-0.0,0.0,247.69,0.79,126.0,70860.0
20170101:0300,12.72,33.54,0.0,-0.0,0.0,243.74,0.73,127.0,70870.0
20170101:0400,12.28,33.85,0.0,-0.0,0.0,239.8,0.67,124.0,70860.0
20170101:0500,11.84,34.17,0.0,-0.0,0.0,235.86,0.61,125.0,70850.0
20170101:0600,11.4,34.48,0.0,-0.0,0.0,231.91,0.55,127.0,70820.0
20170101:0700,10.96,34.8,0.0,-0.0,0.0,227.97,0.49,125.0,70830.0
20170101:0800,9.61,38.7,0.0,-0.0,0.0,224.1,1.03,128.0,70820.0
20170101:0900,9.24,38.55,0.0,-0.0,0.0,222.15,1.1,127.0,70850.0
20170101:1000,8.98,35.6,32.35,0.0,32.35,220.8,1.1,125.0,70870.0
20170101:1100,9.83,34.45,80.29,0.0,80.29,223.3,1.03,124.0,70900.0
20170101:1200,13.81,34.25,651.65,1271.42,78.48,227.75,0.28,127.0,70960.0
20170101:1300,16.35,16.35,881.7,1271.42,71.34,237.05,0.34,295.0,70980.0
20170101:1400,17.63,18.0,1065.65,1252.19,71.6,243.45,0.83,288.0,70990.0
20170101:1500,18.61,19.75,1175.9,1214.21,71.45,250.8,1.1,288.0,71000.0
20170101:1600,19.28,21.5,1218.45,1167.86,77.75,258.35,1.17,286.0,71020.0
20170101:1700,19.6,23.4,1203.35,1137.95,76.0,264.95,1.17,288.0,71030.0
20170101:1800,19.61,26.3,1102.05,1072.25,82.9,269.2,1.1,289.0,71030.0
20170101:1900,19.85,24.35,939.95,978.55,99.5,272.1,0.9,284.0,70990.0
20170101:2000,19.56,24.35,745.15,940.94,65.7,274.2,0.55,297.0,70960.0
20170101:2100,19.15,24.2,502.4,804.75,60.2,271.5,0.34,293.0,70940.0
20170101:2200,18.47,25.05,251.1,584.05,45.05,267.85,0.21,276.0,70930.0
20170101:2300,17.61,24.75,12.7,0.0,12.7,261.65,0.14,166.0,70900.0
20170102:0000,16.68,26.5,0.0,-0.0,0.0,250.8,0.34,152.0,70890.0
20170102:0100,16.01,29.7,0.0,-0.0,0.0,246.45,0.55,143.0,70900.0
20170102:0200,15.55,28.4,0.0,-0.0,0.0,244.4,0.62,128.0,70930.0
20170102:0300,14.79,29.4,0.0,-0.0,0.0,240.15,0.76,122.0,70930.0
20170102:0400,14.0,29.25,0.0,-0.0,0.0,236.5,0.76,123.0,70900.0
20170102:0500,13.19,31.4,0.0,-0.0,0.0,235.3,0.83,122.0,70870.0
20170102:0600,12.46,31.25,0.0,-0.0,0.0,232.6,0.9,122.0,70830.0
20170102:0700,10.93,34.75,0.0,-0.0,0.0,223.9,1.03,124.0,70810.0
20170102:0800,10.59,34.6,0.0,-0.0,0.0,222.35,1.03,125.0,70800.0
20170102:0900,10.21,33.1,0.0,-0.0,0.0,221.2,1.03,125.0,70790.0
20170102:1000,9.85,30.55,32.2,0.0,32.2,220.6,1.1,126.0,70820.0
20170102:1100,10.44,29.5,84.39,0.0,84.39,222.95,1.03,125.0,70860.0
20170102:1200,14.06,43.1,654.15,1271.44,83.52,226.8,0.34,131.0,70890.0
20170102:1300,16.89,15.8,879.95,1271.44,71.75,234.75,0.41,278.0,70920.0
20170102:1400,18.09,16.7,1053.05,1233.48,75.5,242.1,0.9,285.0,70920.0
20170102:1500,18.85,17.6,1174.65,1205.98,78.8,249.25,1.17,285.0,70960.0
20170102:1600,19.27,20.7,1226.9,1176.71,78.15,256.4,1.24,284.0,70990.0
20170102:1700,19.62,21.65,1204.05,1135.89,78.85,261.25,1.24,285.0,71000.0
